dc.title[pt_BR],dc.contributor.author[pt_BR],dc.date.submitted,dc.description.unidade[pt_BR],dc.identifier.uri,dc.identifier.doi[pt_BR],dc.rights[en],dc.rights[pt_BR],dc.subject.keyword,dc.type[pt_BR]
Análise dos efeitos do desequilíbrio e da distorção harmônica de tensão no conjugado e no rendimento de um Motor de Indução Trifásico,"Neves, Ana Bárbara Fernandes",2014-10-10,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/17461,http://dx.doi.org/10.26512/2014.10.D.17461,Acesso Aberto,,Motores elétricos de indução||Motores - rendimento||Desequilíbrio de tensão||Redes elétricas,Dissertação
Análise dos impactos decorrentes da integração de veículos elétricos em uma rede de distribuição,"Souza, Lúcio Sidney de Oliveira",2020-02-07,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/38446,,,Acesso Aberto,Geração distribuída de energia elétrica||Impactos ambientais||Mobilidade||Veículos elétricos||Energia elétrica - distribuição,Dissertação
Análise dos instrumentos normativos de suporte à geração solar fotovoltaica distribuída conectada à rede de distribuição,"Afonso, Geraldo Sidnei",2012-09-27,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/12051,,Acesso Aberto,,Energia solar||Energia - fontes alternativas||Energia elétrica - distribuição,Dissertação
Análise dos riscos de uma distribuidora associados à compra e venda de energia no novo modelo do setor elétrico,"Castro, Marco Aurélio Lenzi",2004-09,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/5329,http://dx.doi.org/10.26512/2004.09.D.5329,Acesso Aberto,,Energia elétrica - distribuição||Energia elétrica - fornecimento||Engenharia elétrica,Dissertação
Análise e desempenho do Sistema Transmissor de TV Digital da Empresa Brasil de Comunicações no Distrito Federal,"Silva, Adriano Goetz da",2015-04-24,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/19133,http://dx.doi.org/10.26512/2015.04.D.19133,Acesso Aberto,,"Telecomunicações - Brasil||Radiodifusão||Moura, Roberto Landell de, 1861-1928||Televisão digital||Televisão - transmissores e transmissão||Antenas (Eletrônica)",Dissertação
Análise e extração de características estruturais e comportamentais para perfis de malware,"Caldas, Daniel Mendes",2016-12-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/23110,http://dx.doi.org/10.26512/2016.12.D.23110,Acesso Aberto,,Malwares - detecção||Software||Malwares||Programação (Computadores)||Ataques cibernéticos,Dissertação
Análise e medidas de propagação e espalhamento em estruturas periódicas,"Azevedo, Alex Pires de",2013-08-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/14716,,Acesso Aberto,,Ondas eletromagnéticas - transmissão||Eletromagnetismo,Dissertação
Análise e projeção de tráfego telefônico,"Bomfim, Tarcisio de Negreiros",2011-08-29,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/10600,,Acesso Aberto,,Tráfego telefônico - análise,Dissertação
Análise estatística na conciliação de receita de público e despesa de uso de redes em operadora de Telecom,"Costa, Sílvio Roberto da",2010-08-31,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/7530,,Acesso Aberto,,Telecomunicações||Sistemas de comunicação sem fio||Interconexão em rede (Telecomunicações),Dissertação
Análise multivariada de fatores críticos de sucesso em governança de TI na administração pública federal à luz dos dados de controle externoAnálise multivariada de fatores críticos de sucesso em governança de TI na administração pública federal à luz dos dados de controle externo,"Ramos, Karoll Haüssler Carneiro",2015-03-06,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/18588,http://dx.doi.org/10.26512/2015.03.T.18588,Acesso Aberto,,Tecnologia da informação - administração||Administração pública||Administração federal||Índice de governança,Tese
Análise no plano alfa da proteção diferencial de linhas de transmissão com compensação série,"Diniz, Olaia Pinheiro",2016-06-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/22138,http://dx.doi.org/10.26512/2016.06.D.22138,Acesso Aberto,,Proteção diferencial||Linhas de transmissão - proteção diferencial,Dissertação
Análise qualitativa de infraestrutura para uma central de atendimento de nova geração – NGN,"Tavares, Sidney Dias",2010-08-09,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/8591,,Acesso Aberto,,Engenharia elétrica - distribuição,Dissertação
Análise regulatória da participação da energia solar fotovoltaica e estudo do melhor mecanismo de suporte para inseri-la na matriz elétrica brasileira,"Mian, Helena Magalhães",2015-05-08,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/18960,http://dx.doi.org/10.26512/2015.5.D.18960,Acesso Aberto,,Energia solar||Geração distribuída de energia elétrica||Leilões - energia elétrica - transmissão,Dissertação
Análise tempo-frequência de sinais eletromiográficos de superfície para a avaliação de fadiga muscular em cicloergômetroAnálise tempo-frequência de sinais eletromiográficos de superfície para a avaliação de fadiga muscular em cicloergômetro,"Andrade, Marcelino Monteiro de",2006-11-22,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/6728,,Acesso Aberto,,"Engenharia elétrica||Eletromiografia||Fourier, Análise de",Tese
"Análise, controle e filtragem de sistemas dinâmicos em tempo finito","Kussaba, Hugo Tadashi Muniz",2014-03-14,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/16617,,Acesso Aberto,,Sistemas dinâmicos diferenciais||Sistemas lineares,Dissertação
Aplicação comercial do sistema OmniSAT da Autotrac e Qualcomm com o uso de terminais móveis e análise de técnicas de múltiplo acesso em sistemas via satélites,"Santos, Flávio",2008-12,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/6176,,Acesso Aberto,,Telecomunicações||Equipamentos e acessórios,Dissertação
Aplicação da técnica da matriz pencil na obtenção do tempo final de sinais,"Nascimento, Marcos do",2012-07-10,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/11206,,Acesso Aberto,,Técnica da Matriz Pencil||Processamento de sinais,Dissertação
Aplicação da transformada de incerteza (ut) para projeto de filtros de microondasAplicação da transformada de incerteza (ut) para projeto de filtros de microondas,"Paredes, Abraham Elias Ortega",2010-02-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/8256,,Acesso Aberto,,Engenharia elétrica||Eletromagnetismo,Tese
Aplicação da transformada de incerteza no dimensionamento de redes móveis,"Pinheiro, Melissa de Martins",2011-07-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/9779,,Acesso Aberto,,Interconexão em rede (Telecomunicações)||Sistemas de comunicação sem fioTelecomunicações,Dissertação
Aplicação da Transformada de Park para aprimoramento da proteção de linhas de transmissão baseada na comparação de fases,"Almeida, Marayanne Cristalino Chaves de",2020-10-21,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/40296,,,Acesso Aberto,Correntes desequilibradas||Comparação de fases||Proteção de linha||Transformada de Park||Linhas de transmissão,Dissertação
Aplicação de análise de pontos por função na mensuração de software com SOA e BPM,"Guimarães, Valéria Aparecida",2017-12-20,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/31664,,,Acesso Aberto,Software - avaliação||Arquitetura Orientada a Serviços (SOA)||Business Process Management (BPM),Dissertação
Aplicação de aprendizado por reforço na escolha inteligente de túneis estabelecidos por meio de caminhos LSP/MPLS-TE,"Brito, Dayal Machado",2013-08-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/15228,,Acesso Aberto,,Engenharia de tráfego||Redes de computação - protocolos||Simulação (Computadores),Dissertação
Aplicação de inferência semântica para exploração conceitual de bases de dados relacionais,"Silva, Daniel Alves da",2014-05-23,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/17072,,Acesso Aberto,,Bases de dados||Automação,Dissertação
Aplicação de melhores práticas para gerenciamento de serviços na área de tecnologia da informação de uma unidade acadêmica,"Faria Neto, Odilon Braz",2008-06-20,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/6906,,Acesso Aberto,,Gerenciamento de serviços||Tecnologia da informação||Satisfação do usuário,Dissertação
Aplicação de redes neurais à migração de serviços de telecomunicações de redes legadas para redes IP,"Kapp, Angelita Fleig",2007-12-14,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/3092,,Acesso Aberto,,Internet||Redes de computação||Redes neurais (Computação)||Telecomunicações||TCP/IP (Protocolo de rede de computação),Dissertação
Aplicação de redes neurais na predição de demanda de crédito no sistema financeiro nacional,"Maia, Jorcenilson Pereira",2008-07,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/1269,,,Acesso Aberto,Previsão de recurso livre||Redes neurais artificiais,Dissertação
Aplicação de segurança eletrônica com java cards : o caso de um protocolo para registro online e sem anonimato em cartões criptograficamente inteligentes,"Leocadio, Jose Maria",2009-03,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/4632,,Acesso Aberto,,Criptografia de dados (Computação)||Redes de computação - protocolos||Segurança de dados,Dissertação
Aplicação de técnicas de aprendizado por reforço à alocação de recursos e ao escalonamento de usuários em sistemas de telecomunicaçõesAplicação de técnicas de aprendizado por reforço à alocação de recursos e ao escalonamento de usuários em sistemas de telecomunicações,"Leite, João Paulo",2014-05-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/16916,,Acesso Aberto,,Aprendizagem||Usuários||Sistemas de telecomunicações,Tese
Aplicação de técnicas de data mining na caracterização de turnover interno para o suporte à gestão de pessoas,"Mendes, Alessandro de Souza",2013-04-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/15589,,Acesso Aberto,,Exploração de dados||Gestão de pessoas||Rotatividade de pessoal||Data warehouse||Clustering,Dissertação
Aplicação do valor de base da frequência fundamental via estatística MVKD em comparação forense de locutor,"Silva, Ronaldo Rodrigues da",2016-12-13,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/22993,http://dx.doi.org/10.26512/2016.12.D.22993,Acesso Aberto,,Comparação forense de locutor (CFL)||Gravações de áudio||Multivariate Kernel-Density (MVKD),Dissertação
Aplicação dos métodos dos mínimos quadrados na estimação de parâmetros do modelo de um transformador,"Meister, David",2006-11-25,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/2132,,Acesso Aberto,,Modelos matemáticos||Transformadores elétricos||Métodos dos mínimos quadrados,Dissertação
Aplicação no domínio do tempo da proteção de linhas baseada na comparação de fases,"Leite Junior, Eduardo Jorge Silva",2016-12-02,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/22853,http://dx.doi.org/10.26512/2016.12.D.22853,Acesso Aberto,,Correntes elétricas||Linhas de transmissão - proteção diferencial||Proteção diferencial,Dissertação
Aplicações de antenas adaptativas em sistemas de comunicações móveis,"Fernandes, Leandro Carísio",2007-03-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/2897,,Acesso Aberto,,Antenas (Eletrônica)||Telecomunicações,Dissertação
Aprendizagem híbrida aplicada à educação profissional de redes de computadores,"Leite, Frederico Nogueira",2017-04-26,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/24338,http://dx.doi.org/10.26512/2017.04.T.24338,,Acesso Aberto,Aprendizagem tecnológica||Aprendizagem híbrida||Aprendizagem - avaliação||Aula invertida||Ensino e aprendizagem,Tese
Aproximações arbitrárias de módulo e fase na modelagem de sistemas lineares invariantes ao deslocamento com técnicas de otimização 'Soft-Computing',"Teixeira, Flávio Castro Alves",2008-08,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/5503,,Acesso Aberto,,Processamento de imagens - técnicas digitais||Redes neurais (Computação)||Análise de séries temporais,Dissertação
Arquitetura aplicada para o desenvolvimento de sistemas em plataforma SOA,"Toffanello, André Amaro",2010-02-26,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/10419,,Acesso Aberto,,Sistemas de informação - arquitetura||Tecnologia da informação,Dissertação
Arquitetura baseada em confiança para a verificação da integridade de arquivos em nuvens computacionais,"Pinheiro, Alexandre",2016-07-11,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/22388,http://dx.doi.org/10.26512/2016.07.D.22388,Acesso Aberto,,Criptografia de dados (Computação)||Arquitetura de computador||Nuvens computacionais||Armazenamento de dados,Dissertação
Arquitetura de middleware para internet das coisas,"Ferreira, Hiro Gabriel Cerqueira",2014-08-28,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/17251,,Acesso Aberto,,Sistemas distribuídos||Computação ubíqua||Middleware (Programa de computador)||Engenharia de software,Dissertação
Arquitetura de rede com suporte à mobilidade de fluxo IP e ao gerenciamento de Mobilidade Distribuído (DMM),"Peña Llerena, Yarisley",2016-02-25,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/21075,http://dx.doi.org/10.26512/2016.02.D.21075,Acesso Aberto,,Escoamento de dados||Arquitetura de rede||Mobilidade de fluxo,Dissertação
